,alg,fun,dim,inst,run,fit,fungroup,logscore
110,PSO,1,5,8,6,1e-08,1,0.0
111,PSO,1,5,8,7,1e-08,1,0.0
112,PSO,1,5,8,8,1e-08,1,0.0
113,PSO,1,5,8,9,1e-08,1,0.0
114,PSO,1,5,8,10,1e-08,1,0.0
115,PSO,1,5,8,11,1e-08,1,0.0
116,PSO,1,5,8,12,1e-08,1,0.0
117,PSO,1,5,8,13,1e-08,1,0.0
118,PSO,1,5,8,14,1e-08,1,0.0
119,PSO,1,5,8,15,1e-08,1,0.0
120,PSO,1,5,9,1,1e-08,1,0.0
121,PSO,1,5,9,2,1e-08,1,0.0
122,PSO,1,5,9,3,1e-08,1,0.0
123,PSO,1,5,9,4,1e-08,1,0.0
124,PSO,1,5,9,5,1e-08,1,0.0
125,PSO,1,5,9,6,1e-08,1,0.0
126,PSO,1,5,9,7,1e-08,1,0.0
127,PSO,1,5,9,8,1e-08,1,0.0
128,PSO,1,5,9,9,1e-08,1,0.0
129,PSO,1,5,9,10,1e-08,1,0.0
130,PSO,1,5,9,11,1e-08,1,0.0
131,PSO,1,5,9,12,1e-08,1,0.0
132,PSO,1,5,9,13,1e-08,1,0.0
133,PSO,1,5,9,14,1e-08,1,0.0
134,PSO,1,5,9,15,1e-08,1,0.0
135,PSO,1,5,10,1,1e-08,1,0.0
136,PSO,1,5,10,2,1e-08,1,0.0
137,PSO,1,5,10,3,1e-08,1,0.0
138,PSO,1,5,10,4,1e-08,1,0.0
139,PSO,1,5,10,5,1e-08,1,0.0
140,PSO,1,5,10,6,1e-08,1,0.0
141,PSO,1,5,10,7,1e-08,1,0.0
142,PSO,1,5,10,8,1e-08,1,0.0
143,PSO,1,5,10,9,1e-08,1,0.0
144,PSO,1,5,10,10,1e-08,1,0.0
145,PSO,1,5,10,11,1e-08,1,0.0
146,PSO,1,5,10,12,1e-08,1,0.0
147,PSO,1,5,10,13,1e-08,1,0.0
148,PSO,1,5,10,14,1e-08,1,0.0
149,PSO,1,5,10,15,1e-08,1,0.0
150,PSO,1,5,11,1,1e-08,1,0.0
151,PSO,1,5,11,2,1e-08,1,0.0
152,PSO,1,5,11,3,1e-08,1,0.0
153,PSO,1,5,11,4,1e-08,1,0.0
154,PSO,1,5,11,5,1e-08,1,0.0
155,PSO,1,5,11,6,1e-08,1,0.0
156,PSO,1,5,11,7,1e-08,1,0.0
157,PSO,1,5,11,8,1e-08,1,0.0
158,PSO,1,5,11,9,1e-08,1,0.0
159,PSO,1,5,11,10,1e-08,1,0.0
160,PSO,1,5,11,11,1e-08,1,0.0
161,PSO,1,5,11,12,1e-08,1,0.0
162,PSO,1,5,11,13,1e-08,1,0.0
163,PSO,1,5,11,14,1e-08,1,0.0
164,PSO,1,5,11,15,1e-08,1,0.0
165,PSO,1,5,12,1,1e-08,1,0.0
166,PSO,1,5,12,2,1e-08,1,0.0
167,PSO,1,5,12,3,1e-08,1,0.0
168,PSO,1,5,12,4,1e-08,1,0.0
169,PSO,1,5,12,5,1e-08,1,0.0
170,PSO,1,5,12,6,1e-08,1,0.0
171,PSO,1,5,12,7,1e-08,1,0.0
172,PSO,1,5,12,8,1e-08,1,0.0
173,PSO,1,5,12,9,1e-08,1,0.0
174,PSO,1,5,12,10,1e-08,1,0.0
175,PSO,1,5,12,11,1e-08,1,0.0
176,PSO,1,5,12,12,1e-08,1,0.0
177,PSO,1,5,12,13,1e-08,1,0.0
178,PSO,1,5,12,14,1e-08,1,0.0
179,PSO,1,5,12,15,1e-08,1,0.0
180,PSO,1,5,13,1,1e-08,1,0.0
181,PSO,1,5,13,2,1e-08,1,0.0
182,PSO,1,5,13,3,1e-08,1,0.0
183,PSO,1,5,13,4,1e-08,1,0.0
184,PSO,1,5,13,5,1e-08,1,0.0
185,PSO,1,5,13,6,1e-08,1,0.0
186,PSO,1,5,13,7,1e-08,1,0.0
187,PSO,1,5,13,8,1e-08,1,0.0
188,PSO,1,5,13,9,1e-08,1,0.0
189,PSO,1,5,13,10,1e-08,1,0.0
190,PSO,1,5,13,11,1e-08,1,0.0
191,PSO,1,5,13,12,1e-08,1,0.0
192,PSO,1,5,13,13,1e-08,1,0.0
193,PSO,1,5,13,14,1e-08,1,0.0
194,PSO,1,5,13,15,1e-08,1,0.0
195,PSO,1,5,14,1,1e-08,1,0.0
196,PSO,1,5,14,2,1e-08,1,0.0
197,PSO,1,5,14,3,1e-08,1,0.0
198,PSO,1,5,14,4,1e-08,1,0.0
199,PSO,1,5,14,5,1e-08,1,0.0
200,PSO,1,5,14,6,1e-08,1,0.0
201,PSO,1,5,14,7,1e-08,1,0.0
202,PSO,1,5,14,8,1e-08,1,0.0
203,PSO,1,5,14,9,1e-08,1,0.0
204,PSO,1,5,14,10,1e-08,1,0.0
205,PSO,1,5,14,11,1e-08,1,0.0
206,PSO,1,5,14,12,1e-08,1,0.0
207,PSO,1,5,14,13,1e-08,1,0.0
208,PSO,1,5,14,14,1e-08,1,0.0
209,PSO,1,5,14,15,1e-08,1,0.0
210,PSO,1,5,15,1,1e-08,1,0.0
211,PSO,1,5,15,2,1e-08,1,0.0
212,PSO,1,5,15,3,1e-08,1,0.0
213,PSO,1,5,15,4,1e-08,1,0.0
214,PSO,1,5,15,5,1e-08,1,0.0
215,PSO,1,5,15,6,1e-08,1,0.0
216,PSO,1,5,15,7,1e-08,1,0.0
217,PSO,1,5,15,8,1e-08,1,0.0
218,PSO,1,5,15,9,1e-08,1,0.0
219,PSO,1,5,15,10,1e-08,1,0.0
220,PSO,1,5,15,11,1e-08,1,0.0
221,PSO,1,5,15,12,1e-08,1,0.0
222,PSO,1,5,15,13,1e-08,1,0.0
223,PSO,1,5,15,14,1e-08,1,0.0
224,PSO,1,5,15,15,1e-08,1,0.0
225,PSO,1,10,1,1,1e-08,1,0.0
226,PSO,1,10,1,2,1e-08,1,0.0
227,PSO,1,10,1,3,1e-08,1,0.0
228,PSO,1,10,1,4,1e-08,1,0.0
229,PSO,1,10,1,5,1e-08,1,0.0
230,PSO,1,10,1,6,1e-08,1,0.0
231,PSO,1,10,1,7,1e-08,1,0.0
232,PSO,1,10,1,8,1e-08,1,0.0
233,PSO,1,10,1,9,1e-08,1,0.0
234,PSO,1,10,1,10,1e-08,1,0.0
235,PSO,1,10,1,11,1e-08,1,0.0
236,PSO,1,10,1,12,1e-08,1,0.0
237,PSO,1,10,1,13,1e-08,1,0.0
238,PSO,1,10,1,14,1e-08,1,0.0
239,PSO,1,10,1,15,1e-08,1,0.0
240,PSO,1,10,2,1,1e-08,1,0.0
241,PSO,1,10,2,2,1e-08,1,0.0
242,PSO,1,10,2,3,1e-08,1,0.0
243,PSO,1,10,2,4,1e-08,1,0.0
244,PSO,1,10,2,5,1e-08,1,0.0
245,PSO,1,10,2,6,1e-08,1,0.0
246,PSO,1,10,2,7,1e-08,1,0.0
247,PSO,1,10,2,8,1e-08,1,0.0
248,PSO,1,10,2,9,1e-08,1,0.0
249,PSO,1,10,2,10,1e-08,1,0.0
250,PSO,1,10,2,11,1e-08,1,0.0
251,PSO,1,10,2,12,1e-08,1,0.0
252,PSO,1,10,2,13,1e-08,1,0.0
253,PSO,1,10,2,14,1e-08,1,0.0
254,PSO,1,10,2,15,1e-08,1,0.0
255,PSO,1,10,3,1,1e-08,1,0.0
256,PSO,1,10,3,2,1e-08,1,0.0
257,PSO,1,10,3,3,1e-08,1,0.0
258,PSO,1,10,3,4,1e-08,1,0.0
259,PSO,1,10,3,5,1e-08,1,0.0
260,PSO,1,10,3,6,1e-08,1,0.0
261,PSO,1,10,3,7,1e-08,1,0.0
262,PSO,1,10,3,8,1e-08,1,0.0
263,PSO,1,10,3,9,1e-08,1,0.0
264,PSO,1,10,3,10,1e-08,1,0.0
265,PSO,1,10,3,11,1e-08,1,0.0
266,PSO,1,10,3,12,1e-08,1,0.0
267,PSO,1,10,3,13,1e-08,1,0.0
268,PSO,1,10,3,14,1e-08,1,0.0
269,PSO,1,10,3,15,1e-08,1,0.0
270,PSO,1,10,4,1,1e-08,1,0.0
271,PSO,1,10,4,2,1e-08,1,0.0
272,PSO,1,10,4,3,1e-08,1,0.0
273,PSO,1,10,4,4,1e-08,1,0.0
274,PSO,1,10,4,5,1e-08,1,0.0
275,PSO,1,10,4,6,1e-08,1,0.0
276,PSO,1,10,4,7,1e-08,1,0.0
277,PSO,1,10,4,8,1e-08,1,0.0
278,PSO,1,10,4,9,1e-08,1,0.0
279,PSO,1,10,4,10,1e-08,1,0.0
280,PSO,1,10,4,11,1e-08,1,0.0
281,PSO,1,10,4,12,1e-08,1,0.0
282,PSO,1,10,4,13,1e-08,1,0.0
283,PSO,1,10,4,14,1e-08,1,0.0
284,PSO,1,10,4,15,1e-08,1,0.0
285,PSO,1,10,5,1,1e-08,1,0.0
286,PSO,1,10,5,2,1e-08,1,0.0
287,PSO,1,10,5,3,1e-08,1,0.0
288,PSO,1,10,5,4,1e-08,1,0.0
289,PSO,1,10,5,5,1e-08,1,0.0
290,PSO,1,10,5,6,1e-08,1,0.0
291,PSO,1,10,5,7,1e-08,1,0.0
292,PSO,1,10,5,8,1e-08,1,0.0
293,PSO,1,10,5,9,1e-08,1,0.0
294,PSO,1,10,5,10,1e-08,1,0.0
295,PSO,1,10,5,11,1e-08,1,0.0
296,PSO,1,10,5,12,1e-08,1,0.0
297,PSO,1,10,5,13,1e-08,1,0.0
298,PSO,1,10,5,14,1e-08,1,0.0
299,PSO,1,10,5,15,1e-08,1,0.0
300,PSO,1,10,6,1,1e-08,1,0.0
301,PSO,1,10,6,2,1e-08,1,0.0
302,PSO,1,10,6,3,1e-08,1,0.0
303,PSO,1,10,6,4,1e-08,1,0.0
304,PSO,1,10,6,5,1e-08,1,0.0
305,PSO,1,10,6,6,1e-08,1,0.0
306,PSO,1,10,6,7,1e-08,1,0.0
307,PSO,1,10,6,8,1e-08,1,0.0
308,PSO,1,10,6,9,1e-08,1,0.0
309,PSO,1,10,6,10,1e-08,1,0.0
310,PSO,1,10,6,11,1e-08,1,0.0
311,PSO,1,10,6,12,1e-08,1,0.0
312,PSO,1,10,6,13,1e-08,1,0.0
313,PSO,1,10,6,14,1e-08,1,0.0
314,PSO,1,10,6,15,1e-08,1,0.0
315,PSO,1,10,7,1,1e-08,1,0.0
316,PSO,1,10,7,2,1e-08,1,0.0
317,PSO,1,10,7,3,1e-08,1,0.0
318,PSO,1,10,7,4,1e-08,1,0.0
319,PSO,1,10,7,5,1e-08,1,0.0
320,PSO,1,10,7,6,1e-08,1,0.0
